Code_terrain	Secteur	Code_secteur	Type	Numero_unique	Code_unique	Nom_nid_nichoir	Localisation	Position	Orientation	Materiel	Installation - Remarques	INSEE_COM	NOM_COMM	CODE_DEPT	NOM_DEPT	NOM_REGION	LATITUDE	LONGITUDE	ALTITUDE
1	Ainan	A	B	B01a	AB01a	Touvat	Descente RD amont ou aval	RD	Donne vers l'aval	RAS		38105	CHIRENS	38	ISERE	RHONE-ALPES	45,4295940	5,5698490	458
3	Ainan	A	B	B02a	AB02a	Rebatiere	Descente en amont RG	Milieu pont	Donne vers l'amont	RAS		38222	MASSIEU	38	ISERE	RHONE-ALPES	45,4336487	5,5917541	446
4	Ainan	A	B	B03a	AB03a	Gontarie	Sous passerelle qui relie deux champs, pas de chemin, traverser champs	Milieu pont	Donne vers RG	RAS		38222	MASSIEU	38	ISERE	RHONE-ALPES	45,4344034	5,5967939	442
6	Ainan	A	B	B04a	AB04a	Toudiere	Descente en aval RG	Milieu pont	donne vers RD	RAS		38222	MASSIEU	38	ISERE	RHONE-ALPES	45,4366469	5,6014395	440
7	Ainan	A	B	B05a	AB05a	Daviere	A COMPLETER			RAS	Pose en juillet 2016	38222	MASSIEU	38	ISERE	RHONE-ALPES	45,4402511	5,6141102	439
9	Ainan	A	B	B06a	AB06a	Merie	Descente RG amont ou aval	RD	Donne vers l'aval	RAS		38222	MASSIEU	38	ISERE	RHONE-ALPES	45,4426279	5,6185815	434
11	Ainan	A	B	B07a	AB07a	Biaux_legumes	Sous pont, passer voir les agriculteurs pour signaler votre presence	A COMPLETER		RAS		38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4437815	5,6215212	429
13	Ainan	A	B	B08a	AB08a	Cormerieu	Sous pont vers etang de peche, au bout d'un chemin carrossable. Descente en amont RG	RG	Donne vers amont/RD	RAS	2015 ? Novembre 2017 : nichoir place sous le nouveau pont vers l'etang de peche	38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4466738	5,6340538	413
14	Ainan	A	B	B09a	AB09a	Lambertiere	Sous passerelle en bois au dessus bras eau stagnante. Acces par chemin qui passe a droite du cimetiere a cote de Pre_Cure ou bien se garer vers biscuiterie (batiment jaune) et traverser foret (plus court)	RD	Donne vers RG	RAS	Pose le 09/01/17	38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4512501	5,6365657	407
15	Ainan	A	B	B10a	AB10a	Pre_cure	Acces en aval RD (petit passage entre haie et maison)	Milieu	Donne vers l'aval	RAS		38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4538053	5,6394946	404
25	Ainan	A	B	B11a	AB11a	Choche_cascade	Sur ancien barrage. Se glisser entre vanne et petite passerelle pour atteindre le nichoir	RD	Donne vers RG	RAS		38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4583104	5,6426597	398
24	Ainan	A	B	B12a	AB12a	Gaiete	St Geoire centre, sur route principale, acces par chemin en aval RD	Aval	Donne vers l'aval	RAS		38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4579483	5,6404710	403
27	Ainan	A	B	B13a	AB13a	Martinette	Sous pont menant a la brasserie. Descente en aval RD	RD	Donne vers l'aval	RAS		38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4597449	5,6423928	395
29	Ainan	A	B	B14a	AB14a	Champet	Descente en aval RD	Milieu	Donne vers l'aval	RAS		38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4644528	5,6528199	380
30	Ainan	A	B	B15a	AB15a	Pale	Descente en aval RG	A COMPLETER		Escabeau de 3m		38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4671052	5,6608611	370
32	Ainan	A	B	B16a	AB16a	Pale_cascade	Sur mur du barrage	RD	Donne vers l'aval	RAS		38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4697922	5,6640100	362
34	Ainan	A	B	B17a	AB17a	Pivonnieres	Descente en amont RD. Nichoir pas au-dessus de l'eau	RG	Donne vers RD	Echelle ?	Pas au-dessus de l'eau	38372	SAINT-BUEIL	38	ISERE	RHONE-ALPES	45,4674287	5,6676430	377
35	Ainan	A	B	B18a	AB18a	Moulin_berthier	Sous pont juste avant ancien barrage. Descente en amont RD	RD	Donne vers RG	RAS		38372	SAINT-BUEIL	38	ISERE	RHONE-ALPES	45,4734037	5,6739450	350
37	Ainan	A	B	B19a	AB19a	Roche	Descente en aval RD. Attention acces difficile si trop d'eau	RG	Donne vers l'aval	Petite echelle	Repose en 2018	38372	SAINT-BUEIL	38	ISERE	RHONE-ALPES	45,4736160	5,6817770	340
38	Ainan	A	B	B20a	AB20a	Roche_aval	Sous petite passerelle en bois passant au-dessus de l'affluent	RAS	RAS	RAS	Pose en 2018	38372	SAINT-BUEIL	38	ISERE	RHONE-ALPES	45,4716883	5,6836652	358
39	Ainan	A	B	B21a	AB21a	Perrier	Descente en amont RD. Tres bas	A COMPLETER		RAS		38372	SAINT-BUEIL	38	ISERE	RHONE-ALPES	45,4672980	5,6797225	404
44	Ainan	A	B	B22a	AB22a	Bueil_passerelle	Descente en aval RG. Acces depuis le parking sur St Bueil par le petit chemin ou par renardiere sur le chemin qui longe	RD	Donne vers RG	Echelle 3 pans ou telescopique	Novembre 2017	38372	SAINT-BUEIL	38	ISERE	RHONE-ALPES	45,4761158	5,6914973	305
46	Ainan	A	B	B23a	AB23a	Renardiere	Sous la passerelle (un peu en aval de l'ancienne usine), ancienne canalisation qui passe au-dessus de la riviere. Descente en amont RG.	RD	Donne vers RG	RAS		38564	VOISSANT	38	ISERE	RHONE-ALPES	45,4771351	5,6930958	303
47	Ainan	A	B	B24a	AB24a	Chaneaz	Descente en amont RD	RD	Donne vers l'aval	Petit escabeau		38564	VOISSANT	38	ISERE	RHONE-ALPES	45,4821711	5,6974799	291
49	Ainan	A	B	B25a	AB25a	Grand_crolaz	Pont tres haut, rebords en grosses pierres et nichoir dessus - Nichoir du Pic Vert sous le pont aussi, en bois, plac? vers milieu du pont - ?chelle 3 pans	Milieu	Donne vers l'aval	Echelle 3 pans	Novembre 2017	38564	VOISSANT	38	ISERE	RHONE-ALPES	45,4886949	5,7043920	280
48	Ainan	A	B	B26a	AB26a	Buquiniere	Sous route principale. Descente en amont RD	RD	Donne vers RG			38354	SAINT-ALBIN-DE-VAULSERRE	38	ISERE	RHONE-ALPES	45,4910134	5,7044685	302
22	Ainan	A	B	B27a	AB27a	Merlas	A COMPLETER			RAS		38228	MERLAS	38	ISERE	RHONE-ALPES	45,4458007	5,6540108	545
21	Ainan	A	B	B28a	AB28a	Gorges	Descente en amont RG. Attention tres encaisse, etre a deux. Restes vieux nid naturel. Riviere semble ressortir bcp plus bas (resurgence)	RG	Donne vers RD	Corde et lampe		38228	MERLAS	38	ISERE	RHONE-ALPES	45,4451985	5,6558561	532
20	Ainan	A	B	B29a	AB29a	Dolmen	Descente en amont	A COMPLETER		RAS		38228	MERLAS	38	ISERE	RHONE-ALPES	45,4449652	5,6687093	614
16	Ainan	A	B	B30a	AB30a	Ailloudieres	Descente en amont RG	RAS	A COMPLETER	RAS		38228	MERLAS	38	ISERE	RHONE-ALPES	45,4415853	5,6490755	623
19	Ainan	A	B	B31a	AB31a	Papon	Descente en aval RG (attention forte pente)	Aval	Donne vers l'aval	RAS		38228	MERLAS	38	ISERE	RHONE-ALPES	45,4345568	5,6591291	665
17	Ainan	A	B	B32a	AB32a	Garliere	Descente en amont	RAS	A COMPLETER	RAS		38228	MERLAS	38	ISERE	RHONE-ALPES	45,4294643	5,6519186	682
